words,pos,stemmed,type
mantra,adj,n,strongsubj
mantra,noun,n,strongsubj
massive,adj,n,weaksubj
matter,verb,y,weaksubj
maybe,anypos,y,strongsubj
mean,verb,y,weaksubj
memories,adj,n,weaksubj
memories,noun,n,weaksubj
mentality,noun,n,strongsubj
metaphorize,verb,y,strongsubj
might,anypos,y,weaksubj
minor,adj,n,weaksubj
mm,anypos,n,strongsubj
moreover,anypos,y,strongsubj
most,anypos,n,weaksubj
mostly,anypos,n,weaksubj
motive,adj,n,weaksubj
motive,noun,n,weaksubj
move,verb,y,weaksubj
much,anypos,y,weaksubj
mum,adj,n,strongsubj
must,anypos,y,strongsubj
nap,adj,n,weaksubj
nap,noun,n,weaksubj
nascent,adj,n,weaksubj
nature,adj,n,weaksubj
nature,noun,n,weaksubj
need,verb,y,strongsubj
needful,adj,n,strongsubj
needful,noun,n,strongsubj
needfully,anypos,y,strongsubj
needs,adj,n,weaksubj
needs,noun,n,weaksubj
nevertheless,anypos,y,strongsubj
nonviolent,adj,n,weaksubj
notion,adj,n,weaksubj
notion,noun,n,weaksubj
nuance,adj,n,strongsubj
nuance,noun,n,strongsubj
nuances,adj,n,strongsubj
nuances,noun,n,strongsubj
obligation,adj,n,weaksubj
obligation,noun,n,weaksubj
obvious,adj,n,weaksubj
obvious,anypos,y,weaksubj
obvious,noun,n,weaksubj
oh,anypos,y,strongsubj
olympic,adj,n,weaksubj
open-ended,adj,n,weaksubj
opinion,adj,n,strongsubj
opinion,noun,n,strongsubj
opinions,adj,n,strongsubj
opinions,noun,n,strongsubj
orthodoxy,noun,n,strongsubj
ought,anypos,y,strongsubj
outlook,adj,n,weaksubj
outlook,noun,n,weaksubj
outright,adj,n,strongsubj
outspoken,adj,n,weaksubj
outspoken,noun,n,weaksubj
overt,adj,n,weaksubj
overtures,adj,n,weaksubj
overtures,noun,n,weaksubj
pacify,verb,y,weaksubj
particular,adj,n,weaksubj
particularly,adverb,n,weaksubj
perceptions,adj,n,strongsubj
perceptions,noun,n,strongsubj
perhaps,anypos,y,strongsubj
persistence,adj,n,weaksubj
persistence,noun,n,weaksubj
perspective,adj,n,weaksubj
perspective,noun,n,weaksubj
philosophize,verb,y,strongsubj
pivotal,adj,n,weaksubj
player,adj,n,weaksubj
player,noun,n,weaksubj
plenary,adj,n,weaksubj
point,adj,n,weaksubj
point,noun,n,weaksubj
ponder,verb,y,strongsubj
position,adj,n,weaksubj
position,noun,n,weaksubj
possibility,adj,n,weaksubj
possibility,noun,n,weaksubj
possible,anypos,y,weaksubj
possibly,anypos,y,weaksubj
posture,adj,n,weaksubj
posture,noun,n,weaksubj
power,adj,n,weaksubj
power,noun,n,weaksubj
practically,anypos,n,weaksubj
pray,verb,y,strongsubj
precious,adverb,n,strongsubj
predictable,adj,n,weaksubj
predictablely,adverb,n,weaksubj
predominant,adj,n,weaksubj
pressure,adj,n,weaksubj
pressure,noun,n,weaksubj
pressures,adj,n,weaksubj
pressures,noun,n,weaksubj
presumably,anypos,y,strongsubj
prevalent,adj,n,weaksubj
primarily,adj,n,weaksubj
primary,adj,n,weaksubj
prime,adj,n,weaksubj
proclaim,verb,y,strongsubj
prognosticate,verb,y,strongsubj
prophesy,verb,y,strongsubj
proportionate,adj,n,weaksubj
proportionate,noun,n,weaksubj
proportionately,adverb,n,weaksubj
prove,anypos,y,weaksubj
quick,adj,n,weaksubj
quiet,adj,n,weaksubj
quite,anypos,y,strongsubj
rapid,adj,n,weaksubj
rare,adj,n,weaksubj
rarely,adverb,n,weaksubj
rather,adverb,n,strongsubj
rather,anypos,y,weaksubj
react,verb,y,weaksubj
reaction,adj,n,weaksubj
reaction,noun,n,weaksubj
reactions,adj,n,weaksubj
reactions,noun,n,weaksubj
readiness,adj,n,weaksubj
readiness,noun,n,weaksubj
realization,adj,n,weaksubj
realization,noun,n,weaksubj
really,anypos,n,strongsubj
recognizable,adj,n,weaksubj
recognizable,anypos,y,weaksubj
reflecting,adj,n,strongsubj
reflecting,noun,n,strongsubj
reflective,adj,n,strongsubj
regard,verb,y,strongsubj
regardless,anypos,n,strongsubj
regardlessly,anypos,n,strongsubj
reiterate,verb,y,weaksubj
reiterated,adj,n,weaksubj
reiterated,noun,n,weaksubj
reiterates,adj,n,weaksubj
reiterates,noun,n,weaksubj
relations,adj,n,weaksubj
relations,noun,n,weaksubj
remark,adj,n,weaksubj
remark,noun,n,weaksubj
renewable,adj,n,weaksubj
replete,adj,n,weaksubj
reputed,adj,n,weaksubj
reveal,anypos,y,weaksubj
revealing,adj,n,strongsubj
revelatory,anypos,y,strongsubj
scholarly,adj,n,weaksubj
screaming,adj,n,strongsubj
screamingly,adverb,n,strongsubj
