word,value
sullen,-2
ineffective,-2
sociopathic,-2
morose,-2
berserk,-2
not_enough,-2
whiny,-2
struggling,-2
cramped,-2
spartan,-2
no-name,-2
daunting,-2
matronly,-2
meandering,-2
clichéd,-2
crude,-2
uptight,-2
unsupported,-2
unsatisfactory,-2
unsafe,-2
unfulfilled,-2
strained,-2
predatory,-2
powerless,-2
poisonous,-2
outmoded,-2
invasive,-2
intractible,-2
ineffectual,-2
imprecision,-2
impersonal,-2
hasty,-2
feeble,-2
dinky,-2
deformed,-2
alienated,-2
vain,-2
unwise,-2
untruthful,-2
untrustworthy,-2
untenable,-2
unsound,-2
unpopular,-2
unnerved,-2
ungrateful,-2
unfit,-2
unfaithful,-2
undesirable,-2
undependable,-2
uncivilized,-2
tiring,-2
spurious,-2
spiritless,-2
sobering,-2
smutty,-2
smug,-2
self-serving,-2
scummy,-2
reproachful,-2
reckless,-2
recalcitrant,-2
ramshackle,-2
quarrelsome,-2
prejudicial,-2
petty,-2
perturbed,-2
panicky,-2
paltry,-2
overworked,-2
overblown,-2
malcontent,-2
malcontented,-2
loveless,-2
licentious,-2
lewd,-2
lacking,-2
kaput,-2
juandiced,-2
irritated,-2
irresponsible,-2
irreconcilable,-2
insulted,-2
insincere,-2
inhospitable,-2
inexorable,-2
inequitable,-2
inefficacious,-2
impertinent,-2
impaired,-2
ill-treated,-2
harmful,-2
gullible,-2
grating,-2
glum,-2
frazzled,-2
fraught,-2
foolhardy,-2
feebleminded,-2
downcast,-2
divisive,-2
disturbed,-2
distrustful,-2
disruptive,-2
disloyal,-2
disparaging,-2
discriminatory,-2
discontent,-2
detrimental,-2
deprived,-2
dejected,-2
degrading,-2
degenerate,-2
cutthroat,-2
cross,-2
condescending,-2
coercive,-2
cheerless,-2
capricious,-2
byzantine,-2
burdensome,-2
bogus,-2
blameworthy,-2
bitter,-2
bewildering,-2
bewildered,-2
baseless,-2
barren,-2
autorcratic,-2
antagonistic,-2
annoyed,-2
aggrieved,-2
acrimonious,-2
acrid,-2
irrational ,-2
arrogant,-3
debilitating,-3
desolate,-3
snot-nosed,-3
wack,-3
wacked,-3
absurd,-3
afraid,-3
aggressive,-3
amenity-poor,-3
anemic,-3
angry,-3
anticlimatic,-3
anti-climatic,-3
ashamed,-3
awkward,-3
b-movie,-3
bad,-3
baked-on,-3
bizarre,-3
blatant,-3
bleak,-3
blind,-3
blinding,-3
bloated,-3
bored,-3
boring,-3
bothersome,-3
brainless,-3
brassy,-3
brazen,-3
brittle,-3
canned,-3
canned-tasting,-3
caustic,-3
cheeky,-3
childish,-3
chronic,-3
cliched,-3
contrived,-3
corrupt,-3
cover-ups,-3
cpu-intensive,-3
cpu-sapping,-3
cranky,-3
crass,-3
creepy,-3
cynical,-3
dangerous,-3
dead,-3
decrepit,-3
defective,-3
defiant,-3
deficient,-3
dense,-3
devious,-3
dilapidated,-3
dingy,-3
direct-to-video,-3
dirty,-3
disappointing,-3
disturbing,-3
dumb,-3
dysfunctional,-3
envious,-3
falls-off,-3
far-fetched,-3
fat,-3
faulty,-3
fearsome,-3
fever-wracked,-3
forgettable,-3
foul-mouthed,-3
fraudulent,-3
freeze-ups,-3
frigid,-3
fucked,-3
gaudy,-3
glazed-eyed,-3
gloomy,-3
god-knows-what,-3
grim,-3
grimy,-3
gross,-3
gross-out,-3
gutless,-3
half-assed,-3
half-drunk,-3
haphazard,-3
hap-hazard,-3
heavy-handed,-3
horror,-3
hushed,-3
hysteric,-3
ignorant,-3
ill-advised,-3
illegitimate,-3
impatient,-3
impotent,-3
impulsive,-3
incompetent,-3
inconvenient,-3
insane,-3
insurmountable,-3
in-your-face,-3
isolating,-3
jaded,-3
laborious,-3
line-up,-3
loud-mouth,-3
lowly,-3
mean-spirited,-3
melted-looking,-3
menacing,-3
mind-numbing,-3
misogynistic,-3
moldy,-3
money-hungry,-3
monotonous,-3
morbid,-3
neurotic,-3
non-functional,-3
non-functioning,-3
oblivious,-3
obnoxious,-3
ominous,-3
outlandish,-3
over-acting,-3
over-priced,-3
over-rated,-3
over-the-top,-3
overwrought,-3
painstaking,-3
parasitic,-3
plodding,-3
porky-looking,-3
preservative-laden,-3
pretentious,-3
pretty-boy,-3
problematic,-3
prohibitive,-3
rakish,-3
revengeful,-3
rickety,-3
ridiculous,-3
riff-raff,-3
rude,-3
rusted,-3
rust-prone,-3
rusty,-3
savage,-3
scary,-3
scheming,-3
schizophrenic,-3
seedy,-3
see-through,-3
self-hatred,-3
selfish,-3
self-mutilating,-3
senseless,-3
sex-and-booze-drenched,-3
shameful,-3
shameless,-3
sharp-cornered,-3
shoddy,-3
shrill,-3
sick,-3
sickly,-3
sinister,-3
skippable,-3
slavish,-3
sleazy,-3
sleepless,-3
slimy,-3
sloppy,-3
sorry,-3
spoiled,-3
stagnant,-3
stillborn,-3
stinky,-3
stubborn,-3
stuck-on,-3
stuffy,-3
subversive,-3
super-violent,-3
tacky,-3
tasteless,-3
tedious,-3
terminal,-3
terrifying,-3
tossable,-3
tragic,-3
trashy,-3
troublesome,-3
turbulent,-3
turgid,-3
two-faced,-3
ultra-conservative,-3
unattractive,-3
unbearable,-3
unclean,-3
unenjoyable,-3
unesthetic,-3
unethical,-3
unfavorable,-3
unforgiving,-3
unhappy,-3
unhealthy,-3
unhelpful,-3
unlikable,-3
unpleasant,-3
unsightly,-3
unwarranted,-3
unwatchable,-3
vindictive,-3
whiney,-3
whiny,-3
wishy-washy,-3
wobbly,-3
wrecked,-3
bitchy,-3
desultory,-3
low-grade,-3
trite,-3
vulgar,-3
dim-witted,-3
formulaic,-3
incendiary,-3
interminable,-3
mad,-3
meaningless,-3
head-nod-inducing,-3
boresome,-3
boy-bait,-3
diminutive,-3
graphic,-3
hypocritical,-3
invective,-3
menial,-3
third-rate,-3
senile,-3
soft-porn,-3
sordid,-3
exasperating,-3
b-grade,-3
near-pornographic,-3
bone-headed,-3
inferior,-3
groan-inducing,-3
moronic,-3
masochistic,-3
rabid,-3
anticlimactic,-3
manipulative,-3
goddamned,-3
infantile,-3
least_favorite,-3
(full)_of_PRP,-3
unholy,-3
shitty,-3
obselete,-3
buggy,-3
tainted,-3
broken,-3
stained,-3
obsessive,-3
freakish,-3
dismayed,-3
joyless,-3
unsustainable,-3
substandard,-3
repressive,-3
obsolete,-3
insolvent,-3
impoverished,-3
illiterate,-3
hurtful,-3
helpless,-3
hazardous,-3
forbidding,-3
dictatorial,-3
deteriorating,-3
crushing,-3
corrosive,-3
bankrupt,-3
wearisome,-3
virulent,-3
upsetting,-3
unscrupulous,-3
unjustifiable,-3
unkind,-3
twisted,-3
traumatic,-3
traumatized,-3
stricken,-3
spiteful,-3
slothful,-3
slanderous,-3
sanctimonious,-3
salacious,-3
rank,-3
pgnacious,-3
pitiable,-3
phony,-3
pernicious,-3
opressive,-3
onerous,-3
nefarious,-3
nauseating,-3
merciless,-3
malodorous,-3
lecherous,-3
lascivious,-3
invidious,-3
irate,-3
insolent,-3
inhumane,-3
infernal,-3
indecent,-3
inconsolable,-3
inpudent,-3
immoral,-3
forlon,-3
fiendish,-3
farfetched,-3
fanatical,-3
egotistical,-3
draconian,-3
distressing,-3
distasteful,-3
disillusioned,-3
dishonest,-3
disgusted,-3
digruntled,-3
destructive,-3
demeaning,-3
cursed,-3
contemptuous,-3
condemnable,-3
conceited,-3
brutish,-3
bonkers,-3
bellicose,-3
beastly,-3
barbarous,-3
barbaric,-3
asinine,-3
ludicrous,-4
dreary,-4
abrasive,-4
acidic,-4
anal,-4
anal-retentive,-4
annoying,-4
banal,-4
booze-and-puke,-4
break-in,-4
crappy,-4
criminal,-4
crud,-4
cruel,-4
crummy,-4
damaging,-4
damn,-4
deluded,-4
devestating,-4
disheveled,-4
drugged-out,-4
drunk,-4
drunken,-4
gin-soaked,-4
grisly,-4
hostile,-4
idiotic,-4
inane,-4
insulting,-4
irritating,-4
lethal,-4
lifeless,-4
lousy,-4
ludicrously-priced,-4
malicious,-4
malevolent,-4
mournful,-4
murderous,-4
nauseous,-4
notorious,-4
obscene,-4
painful,-4
pathetic,-4
perverse,-4
pitiful,-4
pointless,-4
preposterous,-4
sharp-tongued,-4
snotty-nosed,-4
stressed-out,-4
stupid,-4
tabloid,-4
tortured,-4
unacceptable,-4
unstable,-4
unsympathetic,-4
unusable,-4
unwashable,-4
useless,-4
vengeful,-4
worthless,-4
write-off,-4
inexcusable,-4
psychotic,-4
diabolical,-4
profane,-4
scatological,-4
worse,-4
monstrous,-4
cheap-o,-4
egregious,-4
fourth-rate,-4
exploitative,-4
pathological,-4
pornographic,-4
quasi-fascist,-4
revolting,-4
pedantic,-4
fucking,-4
outraged,-4
treacherous,-4
toxic,-4
ruinous,-4
malignant,-4
infested,-4
cancerous,-4
authoritarian,-4
woeful,-4
vile,-4
unthinkable,-4
tyrannical,-4
treasonous,-4
traitorous,-4
torturous,-4
tormented,-4
seething,-4
scathing,-4
reviled,-4
repugnant,-4
reprehensible,-4
puny,-4
perfidious,-4
mortifying,-4
irredeemable,-4
intolerable,-4
insufferable,-4
insidious,-4
infuriated,-4
humiliating,-4
furious,-4
fetid,-4
exorbitant,-4
enraged,-4
earsplitting,-4
distraught,-4
disgraced,-4
destitute,-4
despotic,-4
contemptible,-4
calumnious,-4
blasphemous,-4
belligerent,-4
appalled,-4
abysmal,-4
abusive,-5
agonizing,-5
apocalyptic,-5
appalling,-5
astronomically-priced,-5
atrocious,-5
awful,-5
brutal,-5
bubble-butt,-5
catastrophic,-5
delusional,-5
deplorable,-5
detestable,-5
disasterous,-5
diseased,-5
disgusting,-5
dismal,-5
dreadful,-5
evil,-5
excruciating,-5
fatal,-5
filthy,-5
foul,-5
ghastly,-5
grievous,-5
grotesque,-5
hateful,-5
headache-inducing,-5
hideous,-5
horrendous,-5
horrible,-5
horrid,-5
horrific,-5
horrifying,-5
loathsome,-5
miserable,-5
nasty,-5
racist,-5
rancid,-5
repulsive,-5
satanic,-5
sickening,-5
snot-crusted,-5
terrible,-5
ugly,-5
unforgivable,-5
unlistenable,-5
unlisteneable,-5
venomous,-5
vicious,-5
wicked,-5
wretched,-5
execrable,-5
depraved,-5
deranged,-5
worst,-5
godawful,-5
talent-impaired,-5
disasterous,-5
despised,-5
despicable,-5
aghast,-5
abominable,-5
abhorrent,-5
abhorred,-5
